Zona,Tipo Tarifa Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
2,1,Progresiva,VILLANUEVA,901,1400
2,1,Progresiva,VllLARROEl,1001,1200
2,2,Simple,VILLARROEL,1201,1500
2,1,progresiva,VIRASORO,2301,2400
2,1,Progresiva,VIRASORO VALENTIN,1101,2000
2,2,Simple,VITTORIA FRANCISCO de,2301,2400
2,1,Progresiva,VOLTA,1801,1900
2,2,Simple,\ VOLTAIRE \1,5801,6000
2,,,,,
2,1,Proqreeiva,VUELTA DE OBLIGADO,1101,1300
2,1,Proqresìva,WARNESAV.,1,149
2,1,Proqresiva,WARNESAV_,112,292
2,1,Progresiva,WARNES AV.,401,699
2,1,Proç¡resiva,WARNES AV.,702,850
2,1,Proqresìva,WARNESAV_,801,915
2,1,Proqresiva,WARNES AV.,902,1100
2,2,Simple,WARNESAV.,1101,1400
2,1,Proqresiva,ZABALA,1511,2400
2,2,Simple,ZABALA,3501,4000
2,2,Simple,ZANNI PEDRO COMODORO,201,400
2,1,Proqresiva,ZAPATA,1,500
2,2,Simple,ZENTENO,3101,3200
2,1,Proqresiva,ZOLA EMILIO,5101,5200
