Zona ,Tipo Tarifa – Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
1,2,Simple,FERREYRA ANDRES,3501,3525
1,2,Simple,FERREYRA ANDRES,3522,3700
1,2,Simple,FILIBERTO JUAN DE 0108,901,1100
1,2,Simple,FINOCHIETIO ENRIQUE DR.,401,900
1,2,Simple,FINOCHIETIO ENRIQUE DR.,1201,1400
1,2,Simple,FINOCHIETTO ENRIOUE DR.,1601,2200
1,1,Progresiva,FLOR.IDA,1001,1100
1,1,Progresiva,FRIAS EUSTOQUIO TTE. GENERAL,301,374
1,1,Proqresiva,FRIAS EUSTaQUIO TIE. GENERAL,373,600
1,1,Proqresiva,GALLO,401,1000
1,2,Simple,GARAY JUAN DE AV.,201,300
1,2,Simple,GARAY JUAN DE AV.,401,800
1,2,Simple,GARAY JUAN DE AV.,1101,1170
1,2,Simple,GARAY JUAN DE AV.,1802,2900
1,2,Simple,GARAY JUAN DE AV.,2951,3200
1,2,Simple,GARCIA MANUEL,1,200
1,2,Simple,GARIBALDI,1301,1800
1,1,proqreslva,GASCON,801,1000
1,2,Simple,GENA,501,600
1,1,Proqresiva,GILARDI GILARDO,1201,1299
1,1,Proqresiva,GILARDI GILARDO,1202,1300
1,2,Simple,GIUFFRA JOSE M.DR.,201,400
1,2,Simple,GOMEZ JUAN CARLOS,1,300
1,1,Proqresiva,GOMEZ VALENTIN,2601,3900
1,2,Simple,GRITO DE ASENCIO,3501,3600
1,2,Simple,GUALEGUAY,1,100
1,2,Simple,GUALEGUAY,301,400
1,2,Simple,GUALEGUAY,1001,1500
1,2,Simple,GUANAHANI,101,600
1,1,Proqreslva,GUARDIA VIEJA,3301,4700
1,2,Simple,GUAYQUIRARO,501,520
1,2,Simple,GUAYQUIAARO,531,600
1,2,Simple,GUEMES MACACHA,601,699
1,2,Simple,GUEMES MACACHA,602,700
1,2,Simple,GUSTAVINO ENRIQUE,301,390
1,2,Simple,HERNANDARIAS,101,1700
1,1,Proqresìva,HUMAHUACA,3301,4700
1,2,Simple,HUMBERTO l',1,1000
1,2,Simple,HUMBERTO i',1101,2000
1,2,Simple,HUMBERTO i',1969,2030
1,2,Simple,HUMBERTO i o,2001,3600
1,2,Simple,INCA,3801,3900
1,2,Simple,INCLAN,2301,3200
1,2,Simple,INDEPENDENCIA AV.,1,100
1,2,Simple,INDEPENDENCIA AV.,1,300
1,2,Sim pie,INDEPENDENCIA AV.,401,1000
1,2,Simple,INDEPENDENCIA AV.,981,999
1,2,Simple,IRALA,1,1700
1,2,Simple,ISABEL LA CATOLICA,1,1400
